vinit,vin10@gmail.com,11,8806107237,all-rounder
om,om12@gmail.com,22,9092212144,all-rounder
om,om12@gmail.com,22,9092212144,wicket-keeper
Sadad,vin10@gmail.com,50,1234567890,batsman
Sadad,vin10@gmail.com,50,1234567890,bowler
pranit,pranit333@gmail.com,22,8806107273,all-rounder
kaushiki,pranit333@gmail.com,22,8806107273,all-rounder
kiran,kiran124@gmail.com,22,8806107273,wicket-keeper

akash,vin10@gmail.com,22,1234567890,wicket-keeper
akash,vin10@gmail.com,22,1234567890,wicket-keeper
akash,vin10@gmail.com,22,1234567890,wicket-keeper
vinit,vin10@gmail.com,11,9092212144,batsman
malhari,vin10@gmail.com,11,9092212144,bowler
shrunath,pranit333@gmail.com,11,8806107273,batsman
